Brand,Supplier,Digital person-in-charge,Category,Product Type,Normal Structure (MLP RRP),Normal Sales Structure UK,Spring Sale Structure 2025,Black Friday Structure 2024,Platinum Price,Normal Structure USA,Normal EU Structure,Last Updated UK,Last Updated USA,Last Updated EU,Free USA Shipping,Special Order Tickbox
Hi-Q,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hico,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hifly,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hifonics,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hitachi,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hjs,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
HKS,Hack Engineering,-,Performance,All,RRP + £12.50 (Shipping fee),MLP UK Price = 5% Off RRP,MLP Price Inc = 10% Off RRP,MLP Price Inc = 10% Off RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",04.03.2025 - Fatin,04.03.2025 - Fatin,04.03.2025 - Fatin,,
Hofftech,ECP,Nazreen,Car Parts,All,RRP,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hogert Technik,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Holthaus,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Holts,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Honeywell,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Horpol,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Huf,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hummer,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hünersdorf,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hunter,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Hutchinson,,Nazreen,,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
Ignition Projects,Ignition Projects,Muazzim,Performance,All,RRP,MLP UK Price = 5% Off RRP,MLP UK Price = 5% Off MLP RRP,MLP UK Price = 5% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Imao,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Imperial,Deldo,Muazzim,Tyres,All,Cost Exc VAT / 0.88 *1.2 Price Inc VAT,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",28.10.2024,28.10.2024,28.10.2024,,
Ina,,Nazreen,,All,"InterCar cost inc VAT < 1, Price inc VAT = Cost inc VAT * 7
InterCar cost inc VAT < 5, Price inc VAT = Cost inc VAT * 5
InterCar cost inc VAT < 10, Price inc VAT = Cost inc VAT * 2.5
Otherwise, MLP Price Inc VAT = InterCar cost inc VAT / 0.8",,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",30.07.2024,30.07.2024,30.07.2024,,
IND,IND,,Performance,All,RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 20% Off MLP RRP,MLP Price Inc = 20% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Injector Dynamics,Injector Dynamics,,Performance,All,MLP UK Price Inc = USD RRP * 1.3,MLP UK Price = 5% Off RRP,MLP Price Inc = 10% Off MLP RRP,MLP Price Inc = 10% Off MLP RRP,,MAP Policy,"""MLP EU RRP Inc VAT = Supplier RRP inc VAT
MLP EU Price Inc VAT = Cost inc VAT / 0.8 """,,,,,
Injen,Injen,,Performance,All,Euros Cost Exc VAT * 1.38 = Price Inc VAT,MLP UK Price = 5% Off RRP,,MLP Price Inc = 10% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = EURO RRP * 1.2  
MLP EU Price Inc GMBH VAT = EURO RRP * 1.2  ","9.10.2024
yu qi","9.10.2024
yu qi","9.10.2024
yu qi",,
InoXcar,InoXcar,Iffah,Performance,All,(exc. VAT EURO RRP + 60 EURO Shipping) / 1.1 = exc. VAT GBP RRP,MLP UK Price = 5% Off RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 20% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ","9.12.2024
yu qi","9.12.2024
yu qi","9.12.2024
yu qi",,Special order tickbox
Insane Performance,Insane Performance,,Performance,All,RRP,MLP UK Price = 5% Off RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 5% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Integrated Engineering,Integrated Engineering,,Performance,All,Cost USD Exc VAT*1.5 = RRP GBP in VAT,MLP UK Price = 5% Off RRP,MLP UK Price = 10% Off MLP RRP,MLP UK Price = 10% Off MLP RRP,,MAP Policy,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",28.1.2025 - Yu qi,28.1.2025 - Yu qi,28.1.2025 - Yu qi,,
Inter Cars / Intercars,,,,All,Cost ex VAT/ 0.8 * 1.2 = MLP inc VAT price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Interstate,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
Intramco,Autodoc,Nazreen,Car Parts,All,Price = Autodoc Website Price,-,,,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ",,,,,
IPD,IPD,,Performance,All,RRP,MLP UK Price = 5% Off RRP,MLP UK Price = 5% Off RRP,MLP Price Inc = 10% Off MLP RRP,,MLP USA Price = MLP UK Inc / 1.2 * 1.27,"MLP EU RRP Inc GMBH VAT = MLP UK RRP Inc VAT * 1.25 
MLP EU Price Inc GMBH VAT = MLP UK Price Inc VAT * 1.25 ","13.11.2024
yu qi","13.11.2024
yu qi","13.11.2024
yu qi",,
